address,avg_gas,bytecode_len,distinct_tokens,exploit_score,log_tvl,token_transfer_count,total_tvl_usd,tx_count,unique_byte_pairs,unique_callers
0x5e2d083417d12d4b0824e14ecd48d26831f4da7d,687305.0008067769,7592,8,1.3263075498977792,7.346200846209994,4762,22192223.963366635,2479,240,1267
0xa03110800894b3ccf8723d991d80875561f96777,440663.7115388127,12278,4,1.3261917091038462,5.685496759737139,74,484725.4960757158,109526,250,18437
0x97ea5efdcb5961a99ba5c96123042507c0210ec1,199342.51952939687,17523,10,1.326060325469479,6.906216417603499,3169,8057797.77355261,31619,256,25592
0xf859bf77cbe8699013d6dbc7c2b926aaf307f830,525836.7846697711,12000,4,1.3257386680900274,4.386769085290921,7,24364.149770175707,474383,246,55202
0xc5d3466aa484b040ee977073fcf337f2c00071c1,571013.2752422412,7778,2,1.325676077121258,7.4541560935036815,4695,28454835.43353109,7121,247,1402
0xd0accf05878cafe24ff8b3f82f194c62ed755707,262563.4190322783,19280,4,1.3256402838228691,6.507053071837169,1483,3214052.279735278,47803,256,17895
0x689e0dab47ab16bcae87ec18491692bf621dc6ab,968696.6647634584,8012,1,1.3255174628796198,7.665231070192577,1237,46262709.07403331,2452,246,247
0x4d1e19b5a6e68abe4dc5ce35f161070692802b7c,934377.2922343324,6959,1,1.3254540299693915,6.179130867341643,1510,1510534.26,2936,249,671
0x48033c4a1c834aa1aef91ef6fbfa8fd68fb54229,3009183.492424242,19991,2,1.3250259012042735,4.214485397598097,123,16385.469636842405,132,256,35
0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,621417.2884237589,7746,2,1.3249103029377804,3.3579448077033387,862,2279.05229323411,275383,252,37826
0xd7e81c66502e19cefc44a4bce4c0b4fb7a5f144a,384986.96598456206,19591,6,1.3248474105109849,5.4420850390805535,1873,276747.34925258905,107657,255,17338
0xbbbfd134e9b44bfb5123898ba36b01de7ab93d98,504254.639956886,11652,1,1.3247535927727607,3.1856860016170527,784,1532.5078434568652,2024402,255,100573
0xd22202d23fe7de9e3dbe11a2a88f42f4cb9507cf,98005.77209676211,24489,14,1.3245213719486781,6.1863435060202665,4795,1535830.2710864944,894441,256,497496
0x6b01779c8be3352830ed35906962a1f198bb7594,805223.825,22362,43,1.3239951214297332,6.514789922976467,4165,3271822.9185526394,720,256,249
0x2efff893b6fc0bff779d5448fa0c361975f0961c,963197.0146818924,13919,2,1.3239591339905306,5.430237196895345,322,269299.5230331648,613,254,378
0x6d1fce96e26d7e48e8ecc88a7d9d8241c00e9af8,1029255.0586754454,18845,5,1.323957400685961,5.311676043362889,1936,204962.27100947194,5164,256,555
0x62a9d8825c71d8761f26b30249aa89f223e9818d,1185814.3957805908,6212,6,1.3238154239281295,7.223252381565913,3717,16720619.17480343,2370,234,340
0xaef0a177c8c329cbc8508292bb7e06c00786bbfc,260068.89974339082,14224,3,1.3236873249821512,6.403069581541337,2500,2529702.266509913,16757,256,10497
0x501cb2cd15198a4853bf8944b04c2053410a912b,831569.8957996769,23922,2,1.3236522816858154,3.4008987390515024,13,2516.0899697264176,25998,255,5991
0x6f052e85197e4b2c6f306fee01f25a5355722ef8,1021366.6702412869,15236,2,1.323635400692114,5.1783900084140955,222,150795.06485410922,373,256,281
0xe7784072fc769d8b7f8c0a3fa008722eef5dddd5,291896.84787285724,17446,12,1.3235316808480397,6.35835177686072,2970,2282188.8885732163,14409,255,8107
0xc04c9c6a677117aa85b0fff9e8bb747686a9e48b,820673.2237762237,10118,2,1.3234582286195566,6.34024168898617,276,2188978.4728230536,1716,253,384
0x5546600f77eda1dcf2e8817ef4d617382e7f71f5,193023.9553665074,12390,10,1.3233782433525358,6.545768370965499,1751,3513728.873206982,51486,251,36358
0x62e9581fe25ce5549b1f2481a9c0355a861515db,665181.6166666667,23933,3,1.3232924099858492,5.387658113495251,282,244149.7785449985,3240,256,1225
0x83fc9f406a1a4882a0926becb8c483b384a4b6e8,1942593.3333333333,12761,1,1.3232282712932986,4.795413355592095,265,62431.878044083336,276,235,262
0x70ab3eb82c503d8c16c14ff8f35ba4bc82fd1683,746855.6533101045,7849,3,1.323045987788477,5.831535804315176,1707,678477.0536075816,574,250,588
0x79ebc9a2ce02277a4b5b3a768b1c0a4ed75bd936,142303.67033237478,14301,22,1.3229487294155864,5.677430473742152,1589,475805.61295121256,296623,254,180610
0xfd36e2c2a6789db23113685031d7f16329158384,517556.0732989126,1508,13,1.3226005686578521,6.760204843810434,27,5757113.192874591,823341,197,192766
0xd74b782e05aa25c50e7330af541d46e18f36661c,123620.67116392063,21028,14,1.322460290708237,6.919358748977986,606,8305364.489873706,234217,248,135440
0x9d4451151a8de5b545a1bc6c8fdeb9d94a2868e1,166638.20427636977,14809,7,1.3222661850411968,6.634735611045568,2041,4312563.574256415,42653,254,31485
0x599ce8b26bb17a3d0d153b03869cc295cb6d0785,298949.6049939099,20376,1,1.3222422242379943,7.090327966198316,3130,12311980.83865829,8210,256,2880
0xcd4e576ba1b74692dbc158c5f399269ec4739577,1162345.9139784947,10202,1,1.3219435733777183,4.167043038203404,368,14689.718541666667,372,253,385
0xe283d0e3b8c102badf5e8166b73e02d96d92f688,145003.1712849399,11022,8,1.3218692639015792,7.565357135621944,598,36758444.386580154,66042,250,31557
0x5ced4dc963f607c82d2c2f22c2ab0a975adc4bb9,1830749.8027210885,8506,1,1.3215352715139281,5.553411648759371,142,357610.64200459135,147,242,68
0x03a074d130144fce6883f7ea3884c0a783d85fb3,959775.1444921317,5256,5,1.3214965434677821,5.702821168100052,803,504452.5331002407,699,253,227
0x3332241a5a4ecb4c28239a9731ad45de7f000333,522998.6257822278,14170,21,1.321331626564156,6.191548210356999,2429,1554346.8269369476,1598,255,783
0x42bfe4a3e023f2c90aebffbd9b667599fa38514f,200081.08710355705,24558,8,1.3212069661270829,5.804435956264851,2076,637434.0740075051,57070,254,32743
0x9e1892ed30796ff96abbb1b6a5e722c6ea9c46eb,681627.5775187344,11707,2,1.3211876505304665,4.273264134820192,4143,18760.352132630927,18015,254,3314
0xc1168b7b85b2bbc8a5c73c007b74e7523b2da209,181263.9994065282,11732,6,1.3211254508795462,6.388525811996901,2939,2446389.6712947576,33700,255,21881
0x4f491d389a5bf7c56bd1e4d8af2280fd217c8543,360733.9796392025,24320,1,1.3211158412989574,5.790730102684793,548,617631.4460366667,18958,256,4779
0x79837ec47b64e95823201b96c8f73104f80275be,688609.1583499667,17354,2,1.321114658856178,5.529994086001314,1333,338838.54196533334,4509,255,817
0xdcf8ad3a93269207eb0b0d7c9eb048f2dd512113,1382350.7971781306,10736,1,1.3210658764959706,4.530940278393341,250,33956.85725441184,567,249,243
0xc0ffee00c3f5a11369eeb57693c56fd939dc6dbb,394971.8698673405,11418,50,1.321040484515459,6.3145277907801765,2943,2063134.6844516604,3166,250,2337
0x0d5108377c86f4dcfe473177e0ca555095fda0e0,671320.0059235325,9894,5,1.321013248333082,6.9096312506901585,4156,8121405.536556484,1857,241,635
0x760b8237e457e6a2b5b196ae073ef0301b8316a2,242865.36644014402,13244,1,1.32099887165688,4.294936678529337,59,19720.351717802703,666600,255,107588
0xeaed594b5926a7d5fbbc61985390baaf936a6b8d,228400.25964116564,15648,44,1.3209852766613586,6.271346481699073,1945,1867868.289386707,164477,254,21784
0x10d8b8daa26d307489803e10477de69c0492b610,435607.77925117005,15346,38,1.3206548813201637,6.54849644050083,4191,3535870.230708667,1282,255,800
0x701ac6fad7850956f966a85655348ac1b7c93368,388162.9685102947,11202,14,1.320629090536779,6.39941028904268,3200,2508476.9568937845,2477,250,1996
0x7700edc3dbb30cbb7603212e061c804220c3ca54,232797.67899891187,15800,3,1.3205834392684261,6.463605181919953,2441,2908071.181097797,24813,256,8661
0xf1fe1a695b4c3e2297a37523e3675603c0892b00,474319.3415270019,7172,14,1.320543725358648,8.349079792762645,4384,223398262.39204013,8055,230,1573
0x4ee770919ab741cc84bbe8cd83c21d79785f37e9,2553233.7364591756,2141,3,1.3204575134972802,7.14272700204563,2972,13890790.801262967,1237,198,280
0x4d41a36d04d97785bcea57b057c412b278e6edcc,581563.1008223096,8012,1,1.3204286350719479,7.3885065906937,2040,24462822.996536605,2797,246,466
0x6ad0f087501eee603aeda0407c52864bc7f83322,246933.0929220925,9892,6,1.3202619910503477,5.923732746459518,953,838942.5635671681,35632,247,21187
0x74ca6930108f775cc667894eea33843e691680d7,602247.3608670181,8012,1,1.32023238503588,7.075507310040921,978,11898912.572324008,1707,246,450
0x3af3cc4930ef88f4afe0b695ac95c230e1a108ec,475367.2781186094,24560,69,1.320155668351413,6.5862566598638725,3095,3857061.3544821674,978,256,497
0x962b70e532370de831a64ed8b40f92dcf05a32ba,436880.4782494759,13647,3,1.3201405012144651,6.611419972246575,418,4087143.3107235865,11448,256,1202
0xf7f376ea0584ae97706b78cc1b320cb7c811c10e,422841.23144996597,14300,4,1.3200940871968938,6.388704762162896,187,2447397.9093473935,5876,255,1347
0xed74bc5dc139356e08de28143996f5ef6e4334a4,129070.88592687169,18396,8,1.319886211389848,6.667816619971852,3723,4653894.421702988,45427,256,34335
0xbed76f58edd506a0080b413ca45b2da29b8e638a,921476.9611510792,21743,2,1.3198242654517798,7.135695566322425,2903,13667703.04918552,695,256,54
0x05220a11566a954d449dcb72d241277668b8cf9e,589712.2513823905,16107,3,1.3196327752632753,6.401929738593828,2848,2523071.5495503615,4702,253,576
0x11883cdea6bab720092791cc89affa54428ce069,321538.83774851274,4792,1,1.3196144726080339,8.832341132946143,4400,679737347.2593613,19667,237,2005
0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50,68087.0245824881,20013,30,1.3195224065032323,6.872273419120343,2355,7452008.83025346,796624,252,403667
0x7db5af2b9624e1b3b4bb69d6debd9ad1016a58ac,138716.29904241077,21703,6,1.3195110153667893,6.48945986395978,342,3086453.3927341234,88138,253,45075
